2025-05-19 09:40 - 2025-05-19 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-05-26 09:40 - 2025-05-26 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-06-02 09:40 - 2025-06-02 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-03-04 08:00 - 2025-03-04 08:50: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-03-11 08:00 - 2025-03-11 08:50: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-03-18 08:00 - 2025-03-18 08:50: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-03-25 08:00 - 2025-03-25 08:50: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-04-01 08:00 - 2025-04-01 08:50: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-04-08 08:00 - 2025-04-08 08:50: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-04-15 08:00 - 2025-04-15 08:50: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-04-22 08:00 - 2025-04-22 08:50: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-04-29 08:00 - 2025-04-29 08:50: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-05-06 08:00 - 2025-05-06 08:50: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-05-13 08:00 - 2025-05-13 08:50: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-05-20 08:00 - 2025-05-20 08:50: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-05-27 08:00 - 2025-05-27 08:50: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-06-03 08:00 - 2025-06-03 08:50: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-03-07 08:50 - 2025-03-07 09:40: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-03-14 08:50 - 2025-03-14 09:40: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
